,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
2417,Beige Sleeveless Corset Top,"3,295","2,472",4.5,4.5,Party,Polyester,Textured,Zipper,Fitted,Sleeveless,Regular,N/A,Square Neck,Nykaa Fashion Pvt Ltd,Turkey
2418,Beige Papper Bag Pants,"2,490","1,245",3.9,3.9,Party,Polyester,Solid/Plain,Zipper,Semi-Fit,N/A,N/A,High Waist,N/A,Paccoperri Fashion House Llp.,India
2419,Black Textured Shirts,"2,899","1,740",3.1,3.1,Casual,Polyester,Textured,Button Fly,Oversized,Full Sleeves,Shirts,N/A,Collar Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
2420,Rickie Button Up Midi Dress with Belt (Set of 2),"9,000","9,000",NaN,0,Festive,Polyester,Solid/Plain,Button Fly,Normal,Balloon Sleeve,Midi,N/A,Mandarin Neck,Forever New Apparels Pvt Ltd_parent,China
2421,Black Solid Short,"1,499",900,4.9,4.9,Casual,Blended Fabric,Solid/Plain,Zipper,Comfortable,N/A,N/A,Mid Waist,N/A,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,India
2422,Muse Top-Multi-Color,"2,400","2,280",NaN,0,Evening,Satin,Printed,Tie-Ups,Comfortable,Sleeveless,Regular,N/A,Strapless/Tube,Innsaei Designs Llp,India
2423,Women Solid Green Cargo Pant,"3,699","3,330",5.0,5.0,Casual,Polyester,Solid/Plain,Zipper,Comfortable,N/A,N/A,High Waist,N/A,Only Retail Private Limited_parent,China
2424,Baby Pink Solid Ruched Strappy Short Dress,"2,295","1,722",5.0,5.0,Party,Polyester,Solid/Plain,Zipper,Comfortable,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
2425,Floral Off-shoulder Lace Up Top,"4,499","4,050",4.7,4.7,Casual,Woven,Floral,Tie-Ups,Regular,Bell Sleeves,Regular,N/A,Off Shoulder,Nykaa Fashion Pvt Ltd,China
2426,Women's Black Wide-leg High Rise Clean Look Stretchable Denim Jeans,"3,495","1,224",4.2,4.2,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
2427,Women Floral Printed Multi-Color Top,"2,499","1,125",5.0,5.0,Casual,Polyester,Floral,Zipper,Normal,Half Sleeves,Regular,N/A,Square Neck,Only Retail Private Limited_parent,India
2428,Pink And White Checkered Round Neck Sweater,"1,795","1,436",5.0,5.0,Casual,Polyester,Checks,Slip On,Comfortable,Full Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,Turkey
2429,Linen Full Sleeve Shirt - Pink,"2,495","1,872",NaN,0,Work,Linen,Solid/Plain,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
2430,Blue Frayed Washed Denim Shorts,"1,595","1,276",5.0,5.0,Casual,Denim,Solid/Plain,Button Fly,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2431,Pink Shirt Style Shirt with Tie Up at Neck,"1,599",800,4.1,4.1,Formal,Georgette,Solid/Plain,Button Fly,Comfortable,Three Fourth Sleeves,N/A,N/A,Tie Up Neck,Mish Desings Limited,India
2432,Women Lavender Wrapped Neck Dress,"2,999","1,200",NaN,0,Casual,Polyester,Self Design,Pull On,Normal,Half Sleeves,Maxi,N/A,V-Neck,Campussutra Retail Private Limited_mp,India
2433,Pink Sweetheart Ruffle Short Dress,"2,595","1,817",4.0,4.0,Casual,Polyester,Solid/Plain,Slip On,Comfortable,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
2434,Dark Green Floral Halter Knee Length Dress,"2,400",840,3.7,3.7,Resort/Vacation,Georgette,Floral,Drawstring,Normal,Sleeveless,Knee Length,N/A,Halter Neck,High Street Essentials Private Limited_mp,India
2435,Dark Blue Shirt Dress,"2,999","1,350",4.5,4.5,Casual,Polyester,Solid/Plain,Button Fly,Normal,Full Sleeves,Mini,N/A,Collar Neck,Vero Moda Retail Pvt. Ltd_parent,India
2436,Green Solid Ruffled Beaded Neck Detail Top,"1,299",494,3.9,3.9,Work,Polyester,Solid/Plain,Back Closure,Normal,Half Sleeves,Regular,N/A,Ruffled Neck,Khullar Appearls_parent,India
2437,Jade Drape Gown,"12,999","12,999",NaN,0,Party,Satin,Pleated,Zipper,Semi-Fit,Flared Sleeves,Gown,N/A,V-Neck,Fett Brands Pvt Ltd.,India
2438,Women Purple Georgette Printed Mini Dress,"2,299","1,012",3.6,3.6,Casual,Georgette,Printed,Zipper,Normal,Full Sleeves,Mini,N/A,Round Neck,Lueur Vestures Pvt Ltd,India
2439,Women Purple Satin Off Shoulder Draped Gown,"2,499","1,550",3.9,3.9,Evening,Satin,Solid/Plain,Zipper,Normal,Half Sleeves,Gown,N/A,Off Shoulder,Rubicon Exim Pvt Ltd_mp,India
2440,Red Long Blazer for Women,"2,699","1,458",4.0,4.0,Casual,Crepe,Solid/Plain,Button Fly,Normal,Full Sleeves,Blazer,N/A,Shawl Lapel,Vamaza E-retail Pvt. Ltd_delhi,India
2441,Blue And White Checked High Waist Tweed Pants,"4,295","3,436",NaN,0,Party,Viscose,Textured,Hook and Eye,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2442,Acid Green Solid Georgette Shirt,"1,695","1,441",3.6,3.6,Formal,Polyester,Solid/Plain,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Shawl Lapel,Taurus Clothing Co. Pvt. Ltd.,India
2443,White Full Sleeves Solid Satin Shirt,"2,295","1,836",5.0,5.0,Work,Satin,Solid/Plain,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
2444,Women Wine Round Neck Sleeveless Embellished Maxi Dress,"5,495","2,198",4.2,4.2,Party,Georgette,Embellished/Sequined,Zipper,Normal,Sleeveless,Gown,N/A,Round Neck,Chase Lifestyle Private Limited_parent,India
2445,Multicolor Abstract Print Polyester Kaftan,"2,299","1,127",3.8,3.8,Resort/Vacation,Polyester,Printed,Pull On,Comfortable,N/A,Kaftans,N/A,V-Neck,Wasan Overseas Pvt Ltd,India
2446,Multi Check Mini Dress,"2,399","1,440",4.0,4.0,Casual,Blended Fabric,Checks,Button Fly,Relaxed,Full Sleeves,Mini,N/A,Collar Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
2447,Brown Animal Print Shirt Midi Dress (Set of 2),"4,490","3,592",NaN,0,Evening,Viscose,Animal Print,Button Fly,Comfortable,Half Sleeves,Midi,N/A,Notched Lapel,Future Style Lab Limited_gurgaon,India
2448,Green Embellished Cape Maxi Dress,"15,399","6,930",NaN,0,Casual,Polyester,Embellished/Sequined,Zipper,Normal,Flared Sleeves,Maxi,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,India
2449,Women Graphic Design Stylish Casual Dresses,"2,999","1,350",5.0,5.0,Casual,Polyester,Pleated,Slip On,Normal,Half Sleeves,Midi,N/A,Square Neck,Campussutra Retail Private Limited_mp,India
2450,Lulu Lounge Gold Textured Organza Pearl Embellished Shirt (Set of 2) (XS),"4,499","3,825",NaN,0,Party,Organza,Embellished/Sequined,Front Closure,Tailored,Balloon Sleeve,N/A,N/A,Collar Neck,Swish Boss Apparels Pvt. Ltd.,India
2451,Long Printed Sleeveless Martini Dress,"4,850","4,365",5.0,5.0,Festive,Chiffon,Printed,Elastic,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Dreamers & Creators Fashion Pvt Ltd,India
2452,Blue Solid Paper Bag Shorts (Set of 2),"2,790","1,116",4.5,4.5,Casual,Linen,Solid/Plain,Front Closure,Comfortable,N/A,N/A,High Waist,N/A,Future Style Lab Limited_gurgaon,India
2453,Denim Camouflage Pocket Cargo,"5,699","4,275",NaN,0,Casual,Denim,Camouflage,Elastic,Oversized,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,China
2454,Black Vibing In Classics Dress,"1,995","1,995",4.4,4.4,Evening,Polyester,Solid/Plain,Back Closure,Comfortable,Sleeveless,Mini,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
2455,Women Casual Off White Colour Midi Floral Dress,"2,499","1,075",4.3,4.3,Casual,Georgette,Floral,Back Closure,Comfortable,Full Sleeves,Midi,N/A,High Neck,Epic Brands Pvt Ltd,India
2456,Green Colorblock Full Sleeves Dress,"2,295","1,836",4.0,4.0,Casual,Polyester,Colorblock,Front Closure,Fitted,Full Sleeves,Mini,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,Turkey
