,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
129,Women Embellished Brown Jumpsuit (Set of 2),"4,499","1,800",4.2,4.2,Evening,Polyester,Embellished/Sequined,Button Fly,Comfortable,Half Sleeves,Jumpsuits,N/A,Round Neck,Vero Moda Retail Pvt. Ltd_parent,India
130,Ice Wash High Waist Ripped Denim,"3,295","1,977",4.0,4.0,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
131,Liberty Blue Tier Dress,"3,300","3,135",3.0,3.0,Casual,Cotton,Solid/Plain,Pull On,Gathered,Balloon Sleeve,Mini,N/A,Plunging Neck,Ordinaree Tribe Private Limited,India
132,Hot Pink Floral Stone Shirt,"3,100","2,635",3.9,3.9,Evening,Cotton,Solid/Plain,Front Closure,Normal,Half Sleeves,N/A,N/A,Collar Neck,Swish Boss Apparels Pvt. Ltd.,India
133,So High Dress-Black,"3,150","2,993",3.1,3.1,Party,Mesh,Solid/Plain,Slip On,Skinny,Full Sleeves,Mini,N/A,Sweetheart,Innsaei Designs Llp,India
134,Off Duty Ultra High Rise Flare Bootcut Jeans,"2,090","1,750",3.8,3.8,Casual,Denim,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Off Duty India_parent,India
135,Women White Self Design Lace Regular Smart Casual Peplum Top,"1,799",940,4.4,4.4,Casual,Lace,Self Design,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Krislon Synthetics Pvt Ltd,India
136,Women Black Embellished Fit & Flare Maxi Dress,"4,995","1,499",4.3,4.3,Party,Polyester,Embellished/Sequined,Zipper,Super Slim,Cap,Maxi,N/A,Sweetheart,Chase Lifestyle Private Limited_parent,India
137,Womens Maroon Cowl Neck Top,"1,499",570,3.7,3.7,Casual,Crepe,Solid/Plain,Zipper,Skinny,Sleeveless,Crop Tops,N/A,Cowl Neck,Lueur Vestures Pvt Ltd,India
138,Mersin Layered Pants,"2,999","2,999",4.4,4.4,Casual,Blended Fabric,Solid/Plain,Button Fly,Comfortable,N/A,N/A,High Waist,N/A,Fett Brands Pvt Ltd.,India
139,Brown Sequin Halter Neck Maxi Dress,"5,990","2,696",3.8,3.8,Party,Polyester,Embellished/Sequined,Pull On,Normal,Sleeveless,Maxi,N/A,Halter Neck,Kazo Fashion Pvt Ltd_mp,India
140,Blue High Neckline Ruched Mini Dress,"2,795","2,236",4.1,4.1,Party,Net,Solid/Plain,Zipper,Fitted,Full Sleeves,Mini,N/A,High Neck,Nykaa Fashion Pvt Ltd,India
141,Women Solid Blue Jeans,"2,499","2,250",4.2,4.2,Casual,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,Mid Waist,N/A,Only Retail Private Limited_parent,Bangladesh
142,Black Jumpsuit With Knot Detail At Waist,"4,990","1,996",3.4,3.4,Party,Polyester,Solid/Plain,Zip,Comfortable,Sleeveless,Jumpsuits,N/A,One Shoulder,Kazo Fashion Pvt Ltd_mp,India
143,Daniela Ruched Front Jumpsuit (Set of 2),"7,400","5,595",5.0,5.0,Casual,Blended Fabric,Solid/Plain,Zipper,Normal,Balloon Sleeve,Jumpsuits,N/A,Square Neck,Forever New Apparels Pvt Ltd_parent,China
144,Silver Ready For The Party Dress,"5,295","4,236",4.3,4.3,Party,Sequin,Embellished/Sequined,Zip,Fitted,Three Fourth Sleeves,Mini,N/A,Plunging Neck,Nykaa Fashion Pvt Ltd,India
145,Beau Dresses-White,"4,350","4,133",3.5,3.5,Evening,Blended Fabric,Detailing,Side Closure,Normal,N/A,Mini,N/A,V-Neck,Innsaei Designs Llp,India
146,Maroon Satin Wrap Long Top,"2,499","1,375",3.0,3.0,Party,Satin,Solid/Plain,Side Closure,Normal,Full Sleeves,Regular,N/A,V-Neck,Mish Desings Limited,India
147,Linen Wide Leg Trousers - Pale Beige,"2,995","2,157",3.9,3.9,Everyday Essentials,Linen,Solid/Plain,Zip,Regular,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
148,Blue Satin Wrap Short Dress,"2,799","1,540",4.2,4.2,Party,Satin,Solid/Plain,Side Closure,Comfortable,Puff Sleeves,Mini,N/A,V-Neck,Mish Desings Limited,India
149,Colour Block Shawl Collar Dress - Orange And Fuchsia,"3,295","2,307",4.0,4.0,Festive,Cotton,Colorblock,Slip On,Comfortable,Half Sleeves,N/A,N/A,High Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
150,Black The Timeless Polka Flared Dress,"1,995","1,497",4.2,4.2,Casual,Polyester,Printed,Back Closure,Comfortable,Sleeveless,Knee Length,N/A,High Neck,Nykaa Fashion Pvt Ltd,India
151,Training top For Gym,750,675,3.9,3.9,N/A,Polyester,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
152,Blue Wide-Leg High Rise Denim Pants,"2,499",900,4.1,4.1,Everyday Essentials,Cotton,Solid/Plain,N/A,Flared,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
153,After Party Edit Black Pearl Embellished Short Dress,"6,800","5,780",3.0,3.0,Party,Crepe,Embellished/Sequined,Zipper,Tailored,Full Sleeves,Mini,N/A,Shawl Lapel,Swish Boss Apparels Pvt. Ltd.,India
154,Green Floral Print Button Up Mini Dress,"2,150","1,828",3.5,3.5,Party,Viscose,Floral,Tie-Ups,A-Line,N/A,Mini,N/A,N/A,Cacti Designs Pvt Ltd,India
155,Embellished Mid Length Dress,"3,399","2,210",3.6,3.6,Party,Georgette,Embellished/Sequined,Zipper,Normal,Puff Sleeves,Midi,N/A,Round Neck,Mish Desings Limited,India
156,Women Light Lavender Round Neck Half Sleeve Oversized Printed T-Shirt,"1,099",396,4.2,4.2,Casual,Jersey,Typography,N/A,Oversized,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
157,Magenta Wrap Bodycon Mini Dress (S),"2,499",825,4.2,4.2,Casual,Polyester,Solid/Plain,Pull On,Comfortable,Full Sleeves,Mini,N/A,Notched Lapel,Purvaja,India
158,Diva Top,"2,474",916,3.6,3.6,Evening,Polyester,Floral,Drawstring,Normal,Full Sleeves,Regular,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
159,Stretch Notch Collar Blazer - Black Marina,"5,999","3,840",3.3,3.3,Formal,Polyester,Solid/Plain,Button Fly,Comfortable,Full Sleeves,Blazer,N/A,Notched Lapel,Power Sutra Clothing Private Limited.,India
160,Black & Blue Jacquard Balloon Sleeves Mini Dress,"3,595","3,056",4.5,4.5,Evening,Polyester,Printed,Zipper,Comfortable,Balloon Sleeve,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
161,Navy Blue & Mustard Yellow Floral Print Crop Top,"1,998",740,4.2,4.2,Casual,Chiffon,Floral,Slip On,Gathered,Full Sleeves,Crop Tops,N/A,Square Neck,Nidwait Retail Pvt Ltd,India
162,Red One Shoulder Cut Out Gown,"2,995","2,247",4.5,4.5,Party,Polyester,Solid/Plain,Hook and Eye,Comfortable,Sleeveless,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
163,Black Printed Round Neck Terry Track Suit,"2,999","1,050",4.1,4.1,Everyday Essentials,Cotton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rigo International,India
164,Black Solid Trouser,"1,599",720,4.0,4.0,Work,Polyester,Solid/Plain,Front Closure,Tapered,N/A,N/A,Mid Waist,N/A,Khullar Appearls_parent,India
165,Lulu Lounge Gold Paper Organza Butterfly Embellished Shirt (Set of 2),"3,999","3,400",3.3,3.3,Party,Organza,Embellished/Sequined,Front Closure,Tailored,Full Sleeves,N/A,N/A,Collar Neck,Swish Boss Apparels Pvt. Ltd.,India
166,Cornelia Layered Geo Lace Mini Dress,"10,000","10,000",5.0,5.0,Party,Polyester,Lace,Zipper,Normal,Half Sleeves,Mini,N/A,Round Neck,Forever New Apparels Pvt Ltd_parent,China
167,Eloise Top,"1,799","1,188",3.4,3.4,Casual,Polyester,Printed,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
168,Dusty Pink Floral Print Mandarin Collar Georgette Shirt Style Top,"1,749","1,225",3.8,3.8,Casual,Georgette,Printed,Pull On,Comfortable,Three Fourth Sleeves,N/A,N/A,Mandarin Neck,Bhumika Fashion,India
169,Women's Maroon Solid Relaxed Fit Round Neck Sleeveless Regular Length Jumpsuit,"3,599","1,440",5.0,5.0,Party,Polyester,Embellished/Sequined,Zipper,Comfortable,Sleeveless,Jumpsuits,N/A,Round Neck,Chase Lifestyle Private Limited_parent,India
170,Black The Peplum Plush Top,"1,495","1,047",4.3,4.3,Casual,Georgette,Floral,Pull On,Comfortable,Full Sleeves,Regular,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
171,Women Casual Black Colour Notched Lapel Solid Regular Top,"1,599",720,4.3,4.3,Casual,Crepe,Solid/Plain,Zipper,Semi-Fit,Full Sleeves,Crop Tops,N/A,Notched Lapel,Epic Brands Pvt Ltd,India
172,Green Floral Comfortable Top,"1,499",600,4.2,4.2,Casual,Cotton,Floral,Front Closure,N/A,N/A,Regular,N/A,V-Neck,Sterling Ornaments Private Limited,India
173,Black Brown Frill Top Straight Pant Cord (Set of 2),"2,999","1,050",3.9,3.9,Casual,Polyester,Printed,Elastic,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
174,Charlotte Black Dress,"3,950","3,753",3.0,3.0,Evening,Satin,Solid/Plain,Pull On,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Innsaei Designs Llp,India
175,Beige Solid Pant,"2,190","1,095",3.1,3.1,Work,Polyester,Solid/Plain,Hook and Eye,Regular,N/A,N/A,High Waist,N/A,Paccoperri Fashion House Llp.,India
176,Scarlet Asymmetric Top,"2,999","2,850",2.7,2.7,Party,Crepe,Solid/Plain,Zipper,Tailored,Flared Sleeves,Regular,N/A,One Shoulder,Binfinite And Vara Lifestyle Private Limited,India
177,Multi-Color Floral Cinched Waist Top,"3,499","1,750",4.1,4.1,Casual,Modal,Floral,Pull On,Comfortable,Three Fourth Sleeves,Regular,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
178,Magenta Princess Line Bodycon Knee Length Dress (S),"1,999",780,4.1,4.1,Evening,Polyester,Solid/Plain,Pull On,Comfortable,Puff Sleeves,Knee Length,N/A,Round Neck,Purvaja,India
179,Blush Crush Top-Pink,"2,750","2,613",3.0,3.0,Party,Linen,Solid/Plain,Back Closure,Comfortable,Sleeveless,Regular,N/A,Sweetheart,Innsaei Designs Llp,India
180,Black At The Edge Of The Night Dress,"1,595","1,356",4.3,4.3,Party,Polyester,Solid/Plain,Slip On,Comfortable,Sleeveless,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
181,Womens Black Georgette Solid Flared Knee Length Western Dress,"1,999","1,400",4.0,4.0,Casual,Georgette,Solid/Plain,Back Closure,Free,Full Sleeves,Knee Length,N/A,Round Neck,Bhumika Fashion,India
182,V-Neck Floral Top-Fuchsia,"2,495","1,747",4.0,4.0,Work,Polyester,Floral,Pull On,Comfortable,Three Fourth Sleeves,Regular,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
183,Classic Scarlet Red Gown,"5,799","5,510",3.1,3.1,Party,Crepe,Solid/Plain,Back Closure,Tailored,Half Sleeves,Maxi,N/A,V-Neck,Binfinite And Vara Lifestyle Private Limited,India
184,Magenta Slit Bodycon Midi Dress (S),"2,499",925,4.2,4.2,Evening,Polyester,Solid/Plain,Zipper,Comfortable,Full Sleeves,Midi,N/A,High Neck,Purvaja,India
185,Blue Solid Skinny High Rise Denim Jeans,"2,399",960,3.9,3.9,Work,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
186,Brown Button Detail Maxi Dress with Self Tie Belt (Set of 2),"1,449","1,449",4.1,4.1,Casual,Cotton,Solid/Plain,Button Fly,Normal,Puff Sleeves,Maxi,N/A,V-Neck,Premiere Retail Trading Private Limited,India
187,Shimmer Mini Dress,"3,500","2,275",3.5,3.5,Evening,Sequin,Embellished/Sequined,Pull On,Regular,Full Sleeves,Mini,N/A,V-Neck,Samshek Fashion Pvt Ltd_mp,India
188,Mulberry Long Dress,"4,200","3,990",4.0,4.0,Festive,Georgette,Embroidered,Back Closure,Gathered,Sleeveless,Maxi,N/A,Halter Neck,Ordinaree Tribe Private Limited,India
189,White Floral Co-ords Midi Dress (Set of 2),"3,799",912,3.9,3.9,Casual,Polyester,Floral,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
190,Teal Jacquard V Neck Overlap Short Dress,"3,295","2,472",4.6,4.6,Party,Satin,Embellished/Sequined,Slip On,Comfortable,Full Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
191,Halter Neck Tie Up Dress With Lace Detail,"3,890","3,307",4.1,4.1,Party,Viscose,Solid/Plain,Tie-Ups,Comfortable,N/A,Mini,N/A,N/A,Cacti Designs Pvt Ltd,India
192,Cute Printed Lavender Purple Hoodie,799,640,4.0,4.0,Winter,Fleece,Printed,Pull On,Regular,Full Sleeves,Hoodies & Sweatshirts,N/A,Hooded,Khhalisi,India
193,Ruched Back Tie Bodycon Dress Beige & Brown,"2,598","1,040",4.3,4.3,Casual,Chiffon,Floral,Elastic,Gathered,Balloon Sleeve,Mini,N/A,Square Neck,Nidwait Retail Pvt Ltd,India
194,Alexsis Romanticizing Spring Midi Dress,"3,650","3,285",NaN,0,Evening,Blended Fabric,Printed,Zipper,Semi-Fit,Sleeveless,Midi,N/A,Strapless/Tube,Jaipur Design Factory,India
195,Blue Solid Mini Dress,"2,799","2,520",3.2,3.2,Party,Satin,Solid/Plain,Tie-Ups,Normal,Balloon Sleeve,Mini,N/A,Square Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
196,Black Rock Your Soul Dress,"3,795","3,036",4.7,4.7,Party,Polyester,N/A,Side Closure,N/A,Three Fourth Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
197,Super Skinny Jeans,"2,799","2,520",4.3,4.3,Casual,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Only Retail Private Limited_parent,India
198,Night In Paris Pink Dress,"4,490","2,245",3.9,3.9,Party,Polyester,Embellished/Sequined,Zipper,Comfortable,Balloon Sleeve,Mini,N/A,V-Neck,Future Style Lab Limited_gurgaon,China
199,Multicolor Floral Strappy Crop Top,"1,295",907,4.0,4.0,Party,Polyester,Floral,Side Closure,Comfortable,Sleeveless,Crop Tops,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
200,Multi-colour Long Sleeves Abstract Print Button Up Oversized Longline Shirt,"1,699","1,699",4.0,4.0,Resort/Vacation,Polyester,Printed,Button Fly,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Premiere Retail Trading Private Limited,China
201,Hot Pink Gathered Overlapped Shirt Style Maxi Dress,"2,398","2,398",3.5,3.5,Evening,Rayon,Solid/Plain,Pull On,Comfortable,Three Fourth Sleeves,Maxi,N/A,N/A,Modern Circus Private Limited,India
202,Floral Print Basic Jumpsuit (Set of 2),"2,199",814,3.9,3.9,Casual,Rayon,Floral,Front Closure,Comfortable,Full Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
203,Women's Navy Blue Wide Leg High Rise Clean Look Regular Stretchable Jeans,"3,395","1,358",4.3,4.3,Casual,Cotton,Solid/Plain,N/A,Boxy,N/A,N/A,High Waist,N/A,Chase Lifestyle Private Limited_parent,India
204,Women Textured Purple Top,"2,999","1,050",4.6,4.6,Casual,Viscose,Textured,Button Fly,Regular,Half Sleeves,Tops,N/A,Collar Neck,Vero Moda Retail Pvt. Ltd_parent,China
205,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,Sports,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
206,Women Casual Black Trousers,"2,499","2,250",3.7,3.7,Everyday Essentials,Rayon,Solid/Plain,Zipper,Normal,N/A,N/A,High Waist,N/A,Only Retail Private Limited_parent,India
207,Women Black Solid Ribbed Crop Top,"1,299",533,3.9,3.9,Casual,Knitted,Solid/Plain,Pull On,Normal,Full Sleeves,Crop Tops,N/A,Boat Neck,Nidwait Retail Pvt Ltd,India
208,Women Pink Casual Wear Top,"2,999","1,350",3.8,3.8,Work,Cotton,Self Design,Button Fly,Normal,Full Sleeves,Regular,N/A,Round Neck,Vero Moda Retail Pvt. Ltd_parent,India
209,Black Princess Scoop Aline Dress,"2,399",912,4.2,4.2,Resort/Vacation,Polyester,Floral,Zipper,A-Line,Sleeveless,Maxi,N/A,Scoop Neck,Khullar Appearls_parent,India
210,Black One Shoulder Floral Short Dress,"2,795","2,376",4.4,4.4,Party,Polyester,Floral,Drawstring,Comfortable,Sleeveless,Mini,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
211,Satin Sweetheart Ruched Split Maxi Dress,"4,799","4,799",3.3,3.3,Party,Woven,Solid/Plain,Pull On,Regular,Sleeveless,Maxi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
212,Red Floral Printed Maxi Dress,"2,799","1,288",4.0,4.0,Casual,Polyester,Floral,Pull On,Comfortable,Full Sleeves,Maxi,N/A,Square Neck,Vanca Fashions Pvt Ltd,India
213,Stripes Play - Goan Romance Hand Block Printed Cotton Maxi Dress,"2,899","1,885",3.2,3.2,Casual,Cotton,Stripes,Slip On,Comfortable,Half Sleeves,Maxi,N/A,Mandarin Neck,S Tak Retails,India
214,Off-shoulder Sweetheart Midi Dress,"5,199","5,199",5.0,5.0,Party,Woven,Lace,Pull On,Regular,Sleeveless,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
215,"Women Floral Design, Drawstring Stylish Casual Dresses","2,499","1,125",4.0,4.0,Casual,Polyester,Floral,Slip On,Normal,Three Fourth Sleeves,Knee Length,N/A,V-Neck,Campussutra Retail Private Limited_mp,India
216,Linen Round Neck Shift Dress - Burnt Orange,"2,995","2,097",4.1,4.1,Work,Linen,Solid/Plain,Slip On,Relaxed,Half Sleeves,Midi,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
217,Stretchable V Neck LivIn Camisole - Black,995,717,4.3,4.3,Work,Cotton,Solid/Plain,Pull On,Semi-Fit,Sleeveless,Vests & Tank Tops,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
218,Women Green Casual Wear Dress,"3,999","1,800",3.4,3.4,Resort/Vacation,Polyester,Floral,Pull On,Free,Sleeveless,Midi,N/A,Shoulder Straps,Vero Moda Retail Pvt. Ltd_parent,India
219,Green Topped With Sass Jumpsuit,"5,995","4,796",4.1,4.1,Party,Satin,Solid/Plain,Back Closure,Comfortable,Sleeveless,Jumpsuits,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
220,Maroon Ready For The Royal Ball Gown,"2,295","1,836",4.3,4.3,Party,Crepe,Solid/Plain,Zip,Comfortable,Sleeveless,N/A,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
221,Women Solid White PolyCotton Regular Formal Shirt,"1,499",739,3.9,3.9,Work,Cotton,Solid/Plain,Button Fly,Normal,Full Sleeves,N/A,N/A,Collar Neck,Krislon Synthetics Pvt Ltd,India
222,Purple Twist Front Maxi Dress,"9,199","4,600",4.0,4.0,Casual,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Maxi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
223,Womens Crepe Solid Button Down Shirt Maxi Dress Blue,"2,499",675,4.0,4.0,Casual,Crepe,Printed,Button Fly,Regular,Half Sleeves,Maxi,N/A,Collar Neck,P Inspiration_parent,India
224,Tuxedo Shift Mini Dress,"3,490","1,745",4.0,4.0,Winter,Polyester,Solid/Plain,Front Closure,Comfortable,Full Sleeves,Mini,N/A,Shawl Lapel,Future Style Lab Limited_gurgaon,India
225,Olive High Waisted Wide Leg Denim,"2,990","1,047",3.8,3.8,Casual,Polyester,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Kazo Fashion Pvt Ltd_mp,India
226,Logo Couture Tank Dress,"27,099","11,166",4.2,4.2,Party,Blended,Printed,Pull On,Skinny,Sleeveless,Mini,N/A,High Neck,Nykaa Fashion Pvt Ltd,Albania
227,Solid Front Cut Basic Jumpsuit,"2,699","1,026",4.0,4.0,Party,Polyester,Solid/Plain,Zipper,Comfortable,Flared Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
228,Disney Fearless Women Oversized T-Shirt,"1,499",735,4.3,4.3,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,The Souled Store Private Limited_parent,India
229,Lorelai Ruched Front Midi Dress,"6,600","2,795",4.8,4.8,Casual,Viscose,Floral,Zipper,Normal,Puff Sleeves,Midi,N/A,Square Neck,Forever New Apparels Pvt Ltd_parent,China
230,Navy Blue Floral Printed Midi Dress,"1,999",900,4.1,4.1,Casual,Georgette,Floral,N/A,Semi-Fit,Half Sleeves,Midi,N/A,Sweetheart,Nidwait Retail Pvt Ltd,India
231,Cold Shoulder Sleeves Solid Pleated Long Dress,"6,900","3,450",2.3,2.3,Casual,Chiffon,Pleated,Zip,A-Line,Half Sleeves,Midi,N/A,Ruffled Neck,Reliance Ritu Kumar Private Limited_parent,India
232,Women Blue 90s Boyfriend Medium Wash Denim Jacket,"5,999","3,600",5.0,5.0,Casual,Blended Fabric,Solid/Plain,Button Fly,Normal,Full Sleeves,Jackets,N/A,Collar Neck,Aditya Birla Fashion And Retail Limited_parent,India
233,Multi-color Official Wanderlusting Oversized T-shirts For Women,"1,499",735,4.3,4.3,Casual,Cotton,Graphic,N/A,Oversized,Half Sleeves,N/A,N/A,Round Neck,The Souled Store Private Limited_parent,India
234,Off White Satin Oversized Shirt,"1,899","1,045",3.2,3.2,Party,Satin,Solid/Plain,Button Fly,Free,Full Sleeves,Shirts,N/A,Collar Neck,Mish Desings Limited,India
235,Sheer Polka Print Shirt - Grey,"1,895","1,327",4.2,4.2,Work,Cotton,Printed,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
236,Black Count On Me Jumpsuit,"1,995","1,796",4.4,4.4,Evening,Polyester,Solid/Plain,Zip,Comfortable,Sleeveless,Jumpsuits,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
237,Jade Petite Plisse Maxi Dress,"9,400","9,400",NaN,0,Party,Blended Fabric,Embellished/Sequined,Slip On,Normal,Sleeveless,Gown,N/A,Plunging Neck,Forever New Apparels Pvt Ltd_parent,China
238,Purple Mirror work Co-ord Set & Overlay GGSKD60 (Set of 3),"5,799","5,220",3.2,3.2,Festive,Georgette,Mirror Work,Zip,Semi-Fit,Bell Sleeves,N/A,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
239,Lawn Green Midi Dress,"3,600","3,420",3.0,3.0,Casual,Cotton,Solid/Plain,Slip On,Comfortable,Balloon Sleeve,Midi,N/A,Sweetheart,Ordinaree Tribe Private Limited,India
240,Navy Blue Solid Top,"1,649",660,3.9,3.9,Work,Cotton,Solid/Plain,Back Closure,Relaxed,Full Sleeves,Regular,N/A,Collar Neck,Chase Lifestyle Private Limited_kolkatta,India
241,Mersin Cowl Neck Top,"1,999","1,999",4.0,4.0,Casual,Blended Fabric,Solid/Plain,Slip On,Comfortable,Cap,Crop Tops,N/A,Cowl Neck,Fett Brands Pvt Ltd.,India
242,Puff Sleeve Front Slit Black Floral Midi Dress,"2,199",946,3.8,3.8,Casual,Chiffon,Floral,N/A,A-Line,Full Sleeves,Midi,N/A,Round Neck,Nidwait Retail Pvt Ltd,India
243,Blue Premium Lace Flutter Sleeve Midi Dress,"15,999","10,400",4.0,4.0,Casual,Blended Fabric,Lace,Back Closure,Normal,Ruffled Sleeves,Midi,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,China
244,Women Solid White Casual Shirt,"2,799","1,260",3.7,3.7,Work,Cotton,Solid/Plain,Front Closure,Normal,Full Sleeves,N/A,N/A,Collar Neck,Vero Moda Retail Pvt. Ltd_parent,India
245,Black Printed Oversized Short Sleeve T-Shirt,999,450,3.8,3.8,Casual,Cotton,Printed,Slip On,Oversized,Half Sleeves,N/A,N/A,Round Neck,Iki Chic Pvt Ltd,India
246,Navy Blue Solid Wide Leg Flared Pants,"4,495","3,372",4.0,4.0,Casual,Crepe,Solid/Plain,Button Fly,Comfortable,N/A,N/A,Mid Waist,N/A,Nykaa Fashion Pvt Ltd,India
247,Creamy White Dupioni Evening Dress,"5,500","2,365",NaN,0,Party,Raw Silk,Solid/Plain,Zipper,A-Line,Half Sleeves,Knee Length,N/A,Boat Neck,Power Sutra Clothing Private Limited.,India
248,Blue Wrapped In Ruffle Dress,"1,695","1,187",4.2,4.2,Casual,Chiffon,Floral,Zipper,Comfortable,Three Fourth Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
249,Evita Top,"2,324","1,093",3.8,3.8,Casual,Polyester,Printed,Drawstring,Normal,Full Sleeves,Regular,N/A,Scoop Neck,Astrid Fashions Pvt Ltd,India
250,Women Blue Printed Top With Skirt (Set of 2),"3,698","1,221",3.9,3.9,Casual,Chiffon,Floral,Zipper,A-Line,Sleeveless,N/A,N/A,Shoulder Straps,Nidwait Retail Pvt Ltd,India
251,Black And Bonze Ombre Gradient Sequin Gown,"5,995","5,096",4.2,4.2,Evening,Sequin,Embellished/Sequined,Zipper,Fitted,Sleeveless,Maxi,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
252,Stretch Pants-grey,"2,399","1,416",4.1,4.1,Formal,Viscose,Solid/Plain,Hook and Eye,Comfortable,N/A,N/A,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
253,Palm Palazzo Pants- Salmon,"1,699","1,699",2.9,2.9,Party,Rayon,Solid/Plain,Zipper,Boxy,N/A,N/A,High Waist,N/A,Divya Import Export,India
254,Cowl Neck Split Midi Dress,"3,899","3,899",NaN,0,Casual,Woven,Solid/Plain,Pull On,Regular,Sleeveless,Midi,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,China
255,Pink Puff Sleeves Lace Insert Frill Hem Bodycon Midi Dress,"1,749","1,749",3.8,3.8,Casual,Lace,Lace,Back Closure,Normal,Puff Sleeves,Midi,N/A,Round Neck,Premiere Retail Trading Private Limited,India
256,Blue Floral Printed Midi Dress,"2,399",888,3.6,3.6,Casual,Polyester,Floral,Zip,Comfortable,Half Sleeves,Midi,N/A,V-Neck,Epic Brands Pvt Ltd,India
